Label,Organisme,Note Globale,Limitation Des Impacts Négatifs,Partage Du Pouvoir Et De La Valeur,Stratégie à Impact Positif,Région,Pdf,Logo,Inclusion des travailleurs éloignés de l'emploi,Soutien de publics fragiles,Egalité Femmes-Hommes,Intégration des jeunes et seinors,Mesure de l'empreinte carbone,Réduction de l'empreinte carbone,Biodiversité et utilisation des ressources naturelles,Economie locale et circulaire,Partie prenantes dans la gouvernance,Place des salariés dans la décision,Progression des salariés,Stabilité au travail,Partage de la valeur entre les parties prenantes,Ecarts de rémunération,Placement financiers responsables,Mécénat,Impact du coeur d'activité,Labels et certifications,Achats responsables
VOYAGE SOLIDAIRE PAR VELVET GLOBE : 15/11/2023,VOYAGE SOLIDAIRE PAR VELVET GLOBE,93.18,85.00,83.00,109.50,Ile-de-France,71319edb-1768-728b-c316-65548fb060c5-1309 (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/AK5dMVkKDPj7SaYPq4cKIg/AEumAep2DUbEVbetqNB8dMJvt48lyfPPkjxAY1dD8i8RU7wIbDbc6pbGMY9UIRD1oD7yCsGUWUC18vsNzUze8sW4blIkwtlhYAUHi-thIJ5lrw5Uem5W5o9NEWEzZTxIcMEb1f70i28UtYbNLEJgiUa41mxqynxyBMOjd2_BiSQxXSEpcIvVsHEOAVkmfmY8/ekQh8-9d9accNrNVBb2tFEzxWeDsrcwelOARIq_o1nM),So LEader.png (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/zQwwiSmb2XDGbNP-ypYF0g/LyneAPd5PtJ7p_PRNJTAVV-PFEcvVupWxtuAWhaOSaGpYYmRZpMfjIp8KZb_m8ryE1Z0Fr2kmZmz4h9amYWgfpyKZOLicsIaYmOAaNTSklgjda1SOg5fPgd4kz-ZoFQj5bkmyNx_t512GXXIaHQpBg/VYaZDcPO9cIekaw9gXniMkllhum0ZYgJtq2rFUfG1J8),0,66,100,100,33,90,50,50,66,100,70,50,100,100,100,100,100,50,40
CORECYCLAGE : 24/05/2023,CORECYCLAGE,90.64,75.50,92.00,100.00,Ile-de-France,c731c0bc-fd8a-6ad5-b76a-646defb7b73c-288 (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/4V2k5wb3Vutq8_YHcdgGDQ/UdslZ-mUUg5KA0QDSTBmjykvk-UQjrLm0IEncWM8V7U9D0kHpp1haNNOrv_lWBF_RnxO2Ek4pf4mcASr53mE8niChJ_n6wRw5K-yEtZXh4qgIqJKYM4NtffYbKSdsG3Rjk7lCp_FQEZr7PC4CAJerONK-mNoQy2atok8OPj1q6DjKcSmdnEl6gTiw0SUinIR/m-2_EPfnraqubb1pr_di7Q8P1jZiC-SrclaOpAiVgp4),20231019_a886c979-932b-8faa-0373-646df0077a4a.png (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/cbxzwE8xVsTTe8pwy9Ar3w/nXW37irQZ8ZVTXCgy_jop3NPGjocSldYpuwAvFuJA7S4edJ1FuUsXUodSVoqQfizeMKt__gXLgWeRw5BRwVcQnWuK815Lt8pFZsXUaNUYrYovH-jchyHz1P1vp9712x-jAsjAEWRIUFSHG_GJj_4_eZ4kf-Sl4sOtLtT_QliHZhyA73IsLQrSdp-Au4fOvHW/L4xZsbFl6TYVmPCgEGA36fzFa8J_aObczBiHPYWayu4)
CV DÉVELOPPEMENT : 21/07/2023,CV DÉVELOPPEMENT,86.68,101.50,90.00,74.00,Occitanie,47d30607-9e5c-1dbe-4a18-64ba75c0b3bc-637 (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/k51YXz9-NkjYsS_tuAF8kw/kmT_F-PAIEkwYoPWQe06oWmu_qma7iUQU06Kf5HEIaNg9H-tU-66CHBZGQf-7Wsze7Llitni24V41G_DEXnaJGqJAvaVzi-ib2F3k0wz_ic612ohM9EX-XWxi2YaLqUZVWaaOUUdcsfFaJtaDFJSpjdmFm_CbKqYOFn9ebnxg31EWoAjPbfHcD0ktAYlboZf/mRlYrT9_xR_iKdA2xfOw-dor8RVlRqTb31nOKWEuZvw),20231019_909abaa4-6054-9169-bb3f-64ba7612fb49.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/ne4ArOPl2tkHLF1onsd_BQ/JPyasNVnEDpa2iKP26AmWF3GVSg5YutU7hGQw8bcvCpmqL7eAs38yqGH0PpFH_7tAdStdX8sRVFJCqyWM_-dX8Gx9xeWjxOxozT3--KWihQRze4_2EENSYQWQoKxDO5S-AG5fMgGZ60TpeyQ4I5pzWLTsP9orb2Xm5UG8rSiNPgtmh4mnQRY1bjcsr_lmZAn/HX2kON19Tc6FE-38WXOOmtQFKh81UQqjOpUyUf8Nm88)
NOTRELEC : 11/01/2024,NOTRELEC,86.23,72.00,88.50,97.00,Occitanie,2e2865ae-1078-ccdc-7e47-645a1501b09f-1655 (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/9mgU_4IzpLJrmzz0KpcRIA/dwbc1yUBgd8kiL5Yz8mxHKX7lUIWQl59i33U4xAvdC3bMfyMzuQc2xa82Fjxt0bavbs8jkLYyyoTZTIhM8_yUYC-C2TeCcqh2viJzqV-ftmEkcJfdlHp99IhZsh6U5D_QiTZZxVHx87Ko5KNDtT5LA7el0TdVCJKatCe43xXK6IMr_FpBGT2_5myRNJ1d0Z6/vwOvp2NhzzvUA8Ho1rWvh5wXmoItUX-nUphSbKY1XU4),20240115_bd4a1ad6-5bf0-6b58-5669-659fd8595b43.png (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/5vaUfFZuqG_UDyxTTS0Abw/lfEfv5P7ANdtXIPMYukIzcUVS2B3ErbWhLS8qOYsfJG-bE1j9iYXpghe-vkVuAkwQyLeaZDftNX_jRyJ69s6llc99-t1WjmeqBexSupokOgnc9Iz49dQT6EGsP522XANj_GxJqjN0OsRqAiO__8ITznfU_5ybU9deIdZPBpYN4wEOxDVOrM-aW8odnnkuXhH/v5aEOnj3FlI-8oXWjtmbs6rotzfRyquD6ilzRAqaAkQ)
ARTYZEN : 24/03/2023,ARTYZEN,86.03,64.00,61.00,128.00,Occitanie,ea6cd499-2cbc-c099-4b1b-641d5adc0852-103 (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/72r1nmSAEqYukDSMdMk-Xg/fqE_gKM5GSgkH51sUIKPkx0lklLDBKkoVAqciRyqWeExbJxV_0ignk-Fhvym1izEbw6RGNVPxDpSDXVpUIxIJ-bX0lvOegWOsJXTEsuNise-S8L5r2c4Se5efUWH8lyZDY7VpH_wGmnSK-9EgUrkqmHDUGdbJZTdaRkXC_P5FF_YbODr2BZucSoEML5YCt1s/iz0P4zh6b3lEv_zZAmL_1evR9pwCdQ9vzxzPW_NlJCg),20231019_86d3487a-dcca-f862-b722-641d5b28582a.png (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/AfWoGbKvfXkxJyHrX-Rl7Q/4jW-f-LeZjMPoIn6ypQSpjlF1jf5uGfLzDi55uP9oro-Y6abkFWTFSKfFkfjs9tHRoYBfQT1iqeMpPoEOR5QG3i7-kEML3ZTIRl3bMhWN8QaRaYK25LlkD3DxW5wK7cXMSLz8C0FKnjuukUXMmGDYVxOZHz-9gjyEYlslyBX_NZK5VMRw3M9lZ7b-0FzjvBF/S2bTlddui8fbC-83Luxc6kSV1xYtuts_yPs-RTMofl4)
EUREKA : 28/09/2022,EUREKA,85.91,94.69,68.94,93.19,Provence-Alpes-Côte d’Azur,fu_1359218277.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/jdaoZD_fbJ4zxRpqT0p9yw/PYvYxaSA7p9aaZUemqIdxZPsk9P5BQHXuViXANxZmQyhu9GUkzu6KTT0ttFNjKmD7QjxvLPhgg71jiluzV7G6S6T_uaA-_b8GDsoGUrD7tLvyJ_A1nLSCRVB-fC9SB1wcPYHuaIV5vhM50iQaNyB5w/BAh2dqj5poQh_kYojnZ-6Qn-Mex5PnvnCM_jO9BjB0g),fu_qqgztr5inj26b8t.png (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/0l4R4LR8VuJYE7EIkmmm6g/mcu9wjae-3cVZS5AXgSYXSSvf5FVfcgMyHylOQrTP5o2ZzifWuDMm4O48VaTZUad0v1OiDeunCC08IRKlIQyOI3aAM9xKbL5P9Lh0NSdwSYwoqf2ixPUViE5WwXl3teb5-inZ_C49pijupaSbqL39x7jK4edJorERA-gSdhO_TE/g9tHwjWAu9RI_rnK7HP-pXC-KTmo8mW2m1ImHuoLXoY)
KOEO : 14/02/2022,KOEO,85.90,82.19,83.13,91.67,Ile-de-France,fu_150696121161.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/Fi0o2B_QkTAUOEEzbrioFQ/BRJwWG5JFLu8vpzGgbM8zain0JxMvDc9pOLm29_IIHBG6ccE0VC9qT6kHjz7x5JJ4fZ7gGiz7EBtEgl0WLYRp75b4WvVPqh7y7OyfLUhYn7irsgBYZoyFxyGCgpxLu43gONzEuzjqpNNGR1zGnVJOQ/Rclb3RAcXK8aohLW1GpaMaYHecmvOXKJmxKEw8WaqMQ),fu_rm8amjc3gpwnjah.png (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/aE-Fbm_RTYWT_G3Z_cZz9A/ZO1avkvSRYFpThgPh4dbcmxzpvvpbGq_FhMg7oCeeq_mpULDvvhtqleVMHXBGXFgmqaf70a0ODPsHzPUxjVrOboDud9JzRnI3_KEe4__3kSp00o6AVoBJReDiWIRtIeQYYl6mESPywJ_mx8EzgEY6XOQFl70I4Yrw3ucLsYG1zI/Bsgr0EXbu7d15_Zov1o91Y7s8g3hi62aWjX8YaXUkm0)
AUXILIA : 21/12/2021,AUXILIA,85.76,53.00,99.88,73.61,Ile-de-France,fu_155528474918.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/661Q7Wa9Ofm1tzpfKIqc_w/oV_9OHzgYnXSYNEMEqIPrsQzMJCc6fReV9KNRXiZpWmKyGPyD3-3UzcrR20M58wHCjKHIOR5unwSkE39tvGFbkynZXOKDJGuDiw-9n4uAIudadMsfPOI8vMRf2_TK2GEZSuFF5aDsPB3HuYWoNp5Sg/PZxxOf3nNDs6lSm6MOGvDbMsNbRnXPtCrPs4TPWd_Q0),fu_ykefkvmbtpfuxmi.png (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/0wiU_bRYBtywCgeUOiGd5Q/Rlf6vXDURLT9PY4QgAq3kjr12-RvZOxgXZrTjFg3J7gIFhqegpWAURUeIP-TxteJQ0scor09Nmljyxas0vDyshvrVZzfxRQsunehs_34nJl-z4VM5Yxopt_AtOeuzs4nkkU5DQ13LCYVT4oRvNgxPAd8mW48K3d93FK1zf2p_4I/VG3aA9k4pGL6p12LktoidpDyli44GLQwPPSwQ79TKQk)
IBBEO COSMETIQUES : 13/11/2023,IBBEO COSMETIQUES,85.65,89.00,65.00,101.50,Occitanie,7dc90f78-f380-8204-9ced-65524bb93e3e-1292 (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/S-uc0aWCipg8TJ6i7R-pdg/UODTln1NLH1GIisSfnFrcRXIHVcriE6jj6babRoA-KJZ20qjB6o_pohBVLSxAlk_QZRfL7JaLsy11sIXj6kdFUK1uobK_p00UmmRijiNrSYjaULyiOv5VG1efytWj5w_SAfqX-PePMnj5eyeX4iaSgK353rBpj9r-xwZCvLMTqZOmULeylZsjpX_HGtQxYsj/Z7peEvqk-ETjdZKGdkHqtVvhl-nn1D145oCKK6Xbcfs),20231113_89a9dcc7-bebb-54c6-fb1d-65524c2ca0c2.png (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/S_gQ6vDVWeNOz4UdZzvh2w/GVmb_cS3SoYouEjhBGndg4PUBA9HE_6r9wy6h8OcrFaZNyPoPs8UX_Ry-ao6yQad_m7gbmLMbdz5c7UMM1qawpTbb7vwSO5oPEA-DVsit01ALw4ihC_9Ilx3BYr1aixiclgpvaWvaSXk6a_8lPRB3YNyeLOJs8JoSVT3fZZc7Fp6Qkqckpy_7s95h5gyiJ66/AwQ5Y8H5DuXQBwtt3eIA3OxK_1ZdBftrZIrZDNPeBUQ)
DERVALRESEARCH : 26/05/2023,DERVALRESEARCH,85.32,99.50,78.00,80.50,Grand Est,3aff8336-1e5e-6553-700d-6470a341a61e-329 (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/TyP42OUjJtr1rC82FVmIXw/SXG-xzbQif39JbPG3__j8fuSa4e2Vn3qOr_lBpdC4GRoqyALPMRHi4yNezPtnZhvkKfuMR4_fAZsVMvhB40r9L5eR7_wFQcVf7FyxCEuIxs45jx9TQ31aTmLUSMWgBIK3zfZ-kZOY7QJCljlHwediq5r4gYu9Y5WMq6q0Dyh6VW7mSVU1UxAq8J24W47zHdn/dwuN_sIioQaqxAB5Lq3Oq68uc_eBNB5NTI3Isr6SciM),20231019_87ac50f8-b98f-2060-1726-6470a475cd44.png (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/rOXvhYIfh2VW8ZDdEdpTIw/AFBXfEVHWwst802H5y9W_LPokQjzbbChQfyjES2V8yGs-yJP4_dqRM2Q6fFqOqIE1rl0q_cEbsh7LDTLfpvoR22Us8jxLjg2kotWP3vA9hjBxkiW-Cch1D5qB81AaqAMAKsXlC5C-Lg7BrKnXpmrfL4l2c1DzlxpHhrlp9IBh9CJgJqsk2BdVxKb8r670hZ0/MyphArnPVIYIwCdX9RYmXN94V_dshQo-jSWiE41gjdY)
ETHIKIS : 03/01/2024,ETHIKIS,85.05,76.50,81.50,96.00,Occitanie,6719ab00-f5ed-c2ef-a6da-6411e0cfda85-1593 (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/mGZBSZG0Cf7vPujIhDYIeA/ZEbj79kxkqPRyAOz6wpWIP4HzxSgCf5uksY_hQc4-g69DXjyBRpw_JmmLK9d10NDe_c2zDFjUkNJ5aybObXU-uNGpJ6zU7C7ZdrUTsWoCbKpY3kBTMfsdA183HIKOlk_WSOa2QeiuayIR8f3IWrdS-LBYjjwWnOIG2gxb5NH-Bme3ZVt537Ly-2asFamGOag/vG3j4g_r5N3dHGUQyH_3MOEDKevBmfhQXw4QNnere64),20240103_bc190dcb-481e-7a2e-dd6b-6595489aefbc.png (https://v5.airtableusercontent.com/v3/u/25/25/1706212800000/UfG6LTvVAYXsoDQUrrhkHw/HyFdh1oYCj3ooVRw3eyijKajNkh9KGpA-1w5ALmSHPFZvqgaUHZ-D0gvIuO1nm2kHvZw2W2lfQPL-3g1KLFmOyYak7_JqrhwG3rXXP7WqBkk4twws42d5Nh-flL6whB3IPO6dd1UxQmcs0TwqnAVcFJ_iZI4nBa58Z8CZMececEPfsXI4j7b3P-ocsgEoxDT/hnSknB_llEL_fv_PlFAGNT5Tm-fnABfNga4bd1seOhQ)
